edit,edit,frequency,edit_from,edit_to,transformed_frequency
n|b,n|b,4,n,b,0.6241963505817848
v|t,v|t,4,v,t,0.6241963505817848
v|n,v|n,4,v,n,0.6241963505817848
u|t,u|t,4,u,t,0.6241963505817848
n|w,n|w,4,n,w,0.6241963505817848
g|s,g|s,4,g,s,0.6241963505817848
o|l,o|l,4,o,l,0.6241963505817848
t|b,t|b,4,t,b,0.6241963505817848
w|s,w|s,4,w,s,0.6241963505817848
s|w,s|w,4,s,w,0.6241963505817848
d|l,d|l,4,d,l,0.6241963505817848
f|t,f|t,4,f,t,0.6241963505817848
f|p,f|p,4,f,p,0.6241963505817848
f|n,f|n,4,f,n,0.6241963505817848
d|w,d|w,4,d,w,0.6241963505817848
r|h,r|h,4,r,h,0.6241963505817848
r|x,r|x,4,r,x,0.6241963505817848
f|c,f|c,4,f,c,0.6241963505817848
i|n,i|n,4,i,n,0.6241963505817848
e|m,e|m,4,e,m,0.6241963505817848
k|d,k|d,4,k,d,0.6241963505817848
i|w,i|w,4,i,w,0.6241963505817848
 |p, |p,4, ,p,0.6241963505817848
i|r,i|r,4,i,r,0.6241963505817848
y|n,y|n,4,y,n,0.6241963505817848
j|d,j|d,4,j,d,0.6241963505817848
d|k,d|k,3,d,k,0.6769924925288455
d|i,d|i,3,d,i,0.6769924925288455
p|h,p|h,3,p,h,0.6769924925288455
c|u,c|u,3,c,u,0.6769924925288455
o|r,o|r,3,o,r,0.6769924925288455
p|s,p|s,3,p,s,0.6769924925288455
c|r,c|r,3,c,r,0.6769924925288455
o|w,o|w,3,o,w,0.6769924925288455
c|f,c|f,3,c,f,0.6769924925288455
g|r,g|r,3,g,r,0.6769924925288455
c|d,c|d,3,c,d,0.6769924925288455
l|k,l|k,3,l,k,0.6769924925288455
s|m,s|m,3,s,m,0.6769924925288455
b|r,b|r,3,b,r,0.6769924925288455
d|m,d|m,3,d,m,0.6769924925288455
d|p,d|p,3,d,p,0.6769924925288455
y|r,y|r,3,y,r,0.6769924925288455
f|s,f|s,3,f,s,0.6769924925288455
s|g,s|g,3,s,g,0.6769924925288455
l|f,l|f,3,l,f,0.6769924925288455
k|l,k|l,3,k,l,0.6769924925288455
l|c,l|c,3,l,c,0.6769924925288455
f|e,f|e,3,f,e,0.6769924925288455
k|p,k|p,3,k,p,0.6769924925288455
y|w,y|w,3,y,w,0.6769924925288455
e|k,e|k,3,e,k,0.6769924925288455
e|p,e|p,3,e,p,0.6769924925288455
o|h,o|h,3,o,h,0.6769924925288455
a|w,a|w,3,a,w,0.6769924925288455
v|i,v|i,3,v,i,0.6769924925288455
a|h,a|h,3,a,h,0.6769924925288455
u|m,u|m,3,u,m,0.6769924925288455
v|w,v|w,3,v,w,0.6769924925288455
h|c,h|c,3,h,c,0.6769924925288455
v|c,v|c,3,v,c,0.6769924925288455
l|s,l|s,3,l,s,0.6769924925288455
y|c,y|c,3,y,c,0.6769924925288455
m|s,m|s,3,m,s,0.6769924925288455
n|y,n|y,3,n,y,0.6769924925288455
v|x,v|x,3,v,x,0.6769924925288455
n|f,n|f,3,n,f,0.6769924925288455
t|w,t|w,3,t,w,0.6769924925288455
m|r,m|r,3,m,r,0.6769924925288455
m|w,m|w,3,m,w,0.6769924925288455
 |h, |h,2, ,h,0.7686217868402407
w|a,w|a,2,w,a,0.7686217868402407
s|h,s|h,2,s,h,0.7686217868402407
k|y,k|y,2,k,y,0.7686217868402407
w|m,w|m,2,w,m,0.7686217868402407
y|v,y|v,2,y,v,0.7686217868402407
w|k,w|k,2,w,k,0.7686217868402407
w|l,w|l,2,w,l,0.7686217868402407
d|y,d|y,2,d,y,0.7686217868402407
e| ,e| ,2,e, ,0.7686217868402407
z|g,z|g,2,z,g,0.7686217868402407
e|f,e|f,2,e,f,0.7686217868402407
r|v,r|v,2,r,v,0.7686217868402407
x|n,x|n,2,x,n,0.7686217868402407
x|t,x|t,2,x,t,0.7686217868402407
b|n,b|n,2,b,n,0.7686217868402407
x|z,x|z,2,x,z,0.7686217868402407
y|a,y|a,2,y,a,0.7686217868402407
b|t,b|t,2,b,t,0.7686217868402407
t|j,t|j,2,t,j,0.7686217868402407
y|g,y|g,2,y,g,0.7686217868402407
y|h,y|h,2,y,h,0.7686217868402407
u|h,u|h,2,u,h,0.7686217868402407
c|e,c|e,2,c,e,0.7686217868402407
a|p,a|p,2,a,p,0.7686217868402407
 |n, |n,2, ,n,0.7686217868402407
y|l,y|l,2,y,l,0.7686217868402407
a|m,a|m,2,a,m,0.7686217868402407
c|v,c|v,2,c,v,0.7686217868402407
c|w,c|w,2,c,w,0.7686217868402407
c|z,c|z,2,c,z,0.7686217868402407
-|y,-|y,2,-,y,0.7686217868402407
v|g,v|g,2,v,g,0.7686217868402407
b|f,b|f,2,b,f,0.7686217868402407
v|l,v|l,2,v,l,0.7686217868402407
 |y, |y,2, ,y,0.7686217868402407
k|x,k|x,2,k,x,0.7686217868402407
i|s,i|s,2,i,s,0.7686217868402407
k|o,k|o,2,k,o,0.7686217868402407
m|f,m|f,2,m,f,0.7686217868402407
g|y,g|y,2,g,y,0.7686217868402407
o|g,o|g,2,o,g,0.7686217868402407
l|v,l|v,2,l,v,0.7686217868402407
j|h,j|h,2,j,h,0.7686217868402407
p|a,p|a,2,p,a,0.7686217868402407
l|p,l|p,2,l,p,0.7686217868402407
h|f,h|f,2,h,f,0.7686217868402407
l|j,l|j,2,l,j,0.7686217868402407
n|o,n|o,2,n,o,0.7686217868402407
l|g,l|g,2,l,g,0.7686217868402407
m|e,m|e,2,m,e,0.7686217868402407
q|a,q|a,2,q,a,0.7686217868402407
k|s,k|s,2,k,s,0.7686217868402407
f|d,f|d,2,f,d,0.7686217868402407
i|d,i|d,2,i,d,0.7686217868402407
h|l,h|l,2,h,l,0.7686217868402407
n|e,n|e,2,n,e,0.7686217868402407
q|t,q|t,2,q,t,0.7686217868402407
f|b,f|b,2,f,b,0.7686217868402407
-|',-|',1,-,',1.0
i|j,i|j,1,i,j,1.0
i|',i|',1,i,',1.0
i|m,i|m,1,i,m,1.0
m|u,m|u,1,m,u,1.0
v|p,v|p,1,v,p,1.0
m|v,m|v,1,m,v,1.0
w|i,w|i,1,w,i,1.0
-|e,-|e,1,-,e,1.0
v|u,v|u,1,v,u,1.0
w|f,w|f,1,w,f,1.0
i|f,i|f,1,i,f,1.0
-|l,-|l,1,-,l,1.0
w|d,w|d,1,w,d,1.0
w|b,w|b,1,w,b,1.0
n| ,n| ,1,n, ,1.0
w|t,w|t,1,w,t,1.0
w| ,w| ,1,w, ,1.0
v|z,v|z,1,v,z,1.0
v|y,v|y,1,v,y,1.0
w|-,w|-,1,w,-,1.0
r|o,r|o,1,r,o,1.0
'|a,'|a,1,',a,1.0
w|y,w|y,1,w,y,1.0
z|t,z|t,1,z,t,1.0
 |a, |a,1, ,a,1.0
z|l,z|l,1,z,l,1.0
l|',l|',1,l,',1.0
z|d,z|d,1,z,d,1.0
 |c, |c,1, ,c,1.0
 |i, |i,1, ,i,1.0
 |k, |k,1, ,k,1.0
l|h,l|h,1,l,h,1.0
 |l, |l,1, ,l,1.0
y|m,y|m,1,y,m,1.0
j|v,j|v,1,j,v,1.0
y|j,y|j,1,y,j,1.0
j|t,j|t,1,j,t,1.0
l|o,l|o,1,l,o,1.0
 |o, |o,1, ,o,1.0
y|d,y|d,1,y,d,1.0
i|í,i|í,1,i,í,1.0
x|y,x|y,1,x,y,1.0
i|x,i|x,1,i,x,1.0
m|.,m|.,1,m,.,1.0
h|y,h|y,1,h,y,1.0
x|m,x|m,1,x,m,1.0
x|l,x|l,1,x,l,1.0
 |r, |r,1, ,r,1.0
v|m,v|m,1,v,m,1.0
h|m,h|m,1,h,m,1.0
n|h,n|h,1,n,h,1.0
b|w,b|w,1,b,w,1.0
o|n,o|n,1,o,n,1.0
o|s,o|s,1,o,s,1.0
g|p,g|p,1,g,p,1.0
g|o,g|o,1,g,o,1.0
c|o,c|o,1,c,o,1.0
g|l,g|l,1,g,l,1.0
p|d,p|d,1,p,d,1.0
g|h,g|h,1,g,h,1.0
p|g,p|g,1,p,g,1.0
p|i,p|i,1,p,i,1.0
p|l,p|l,1,p,l,1.0
s|v,s|v,1,s,v,1.0
d|f,d|f,1,d,f,1.0
d|h,d|h,1,d,h,1.0
g|f,g|f,1,g,f,1.0
p|o,p|o,1,p,o,1.0
s|o,s|o,1,s,o,1.0
g|a,g|a,1,g,a,1.0
f|w,f|w,1,f,w,1.0
p|y,p|y,1,p,y,1.0
r|',r|',1,r,',1.0
f|k,f|k,1,f,k,1.0
f|i,f|i,1,f,i,1.0
f|h,f|h,1,f,h,1.0
d|z,d|z,1,d,z,1.0
r|j,r|j,1,r,j,1.0
r|k,r|k,1,r,k,1.0
c|b,c|b,1,c,b,1.0
o|d,o|d,1,o,d,1.0
h|w,h|w,1,h,w,1.0
b|o,b|o,1,b,o,1.0
-|p,-|p,1,-,p,1.0
v|d,v|d,1,v,d,1.0
e|è,e|è,1,e,è,1.0
-|s,-|s,1,-,s,1.0
a|',a|',1,a,',1.0
u|v,u|v,1,u,v,1.0
a|b,a|b,1,a,b,1.0
a|f,a|f,1,a,f,1.0
n|p,n|p,1,n,p,1.0
h|j,h|j,1,h,j,1.0
h|a,h|a,1,h,a,1.0
u|j,u|j,1,u,j,1.0
n|v,n|v,1,n,v,1.0
n|x,n|x,1,n,x,1.0
u|g,u|g,1,u,g,1.0
u|f,u|f,1,u,f,1.0
a|á,a|á,1,a,á,1.0
u|c,u|c,1,u,c,1.0
b|a,b|a,1,b,a,1.0
b|e,b|e,1,b,e,1.0
t|x,t|x,1,t,x,1.0
n|z,n|z,1,n,z,1.0
o|',o|',1,o,',1.0
b|g,b|g,1,b,g,1.0
b|l,b|l,1,b,l,1.0
t|q,t|q,1,t,q,1.0
g|z,g|z,1,g,z,1.0
 |', |',1, ,',1.0
